WordID,ShortWordName,English,Comments
2494785707,EDIT_ROTATE,Edit Rotate,Edit Rotate
3661026732,EDIT_STRETCH,Edit Stretch,Edit Stretch
3478988798,EDIT_SCALE,Edit Scale,Edit Scale
3902390851,EDIT_EXTEND,Edit Extend,Edit Extend
3071435908,EDIT_TRIM,Edit Trim,Edit Trim
3161340767,EDIT_FILLET,Edit Fillet,Edit Fillet
2918679699,EDIT_CHAMFER,Edit Chamfer,Edit Chamfer
3265605728,EDIT_EXPLODE,Edit Explode,Edit Explode
3932640333,CREATE_VVESSEL2D,Create Vvessel2d,Create Vvessel2d
2801144044,CREATE_HVESSEL2D,Create Hvessel2d,Create Hvessel2d
2689559792,CREATE_EXCHANGER2D,Create Exchanger2d,Create Exchanger2d
2434967661,CREATE_FILTER2D,Create Filter2d,Create Filter2d
3554460308,CREATE_PUMP2D,Create Pump2d,Create Pump2d
3432407186,CREATE_AIRCOOLER2D,Create Aircooler2d,Create Aircooler2d
3483474747,CREATE_COMPRESSOR2D,Create Compressor2d,Create Compressor2d
2840747433,CREATE_PIPE2D,Create Pipe2d,Create Pipe2d
4085157423,CREATE_INSTRUMENT2D,Create Instrument2d,Create Instrument2d
3320946139,EDIT_PARAMETER,Edit Parameter,Edit Parameter
3361645481,CREATE_CUBOID,Create Cuboid,Create Cuboid
4171461298,CREATE_CYLINDER,Create Cylinder,Create Cylinder
2655449631,CREATE_SPHERE,Create Sphere,Create Sphere
4076425420,CREATE_DISC,Create Disc,Create Disc
2583278476,CREATE_PYRAMID,Create Pyramid,Create Pyramid
